SecurityID,DhanSymbol,MasterSymbol,CompanyName,Sector,Industry
1394,HINDUNILVR,HINDUNILVR,HINDUSTAN UNILEVER LTD,FMCG,DIVERSIFIED FMCG
14154,UNOMINDA,UNOMINDA,UNO MINDA LTD,AUTO,AUTO ANCILLARIES
1424,HINDZINC,HINDZINC,HINDUSTAN ZINC LTD,METAL,ZINC & SILVER MINING
14299,PFC,PFC,POWER FINANCE CORPORATION LTD,FINANCIAL SERVICES,NBFC - PSU
14309,INDIANB,INDIANB,INDIAN BANK,BANKING,PSU BANK
14334,HSCL,HSCL,HIMADRI SPECIALITY CHEMICAL LTD,CHEMICALS,SPECIALTY CHEMICALS / CARBON MATERIALS
14552,PHOENIXLTD,PHOENIXLTD,PHOENIX MILLS LTD,REALTY,REAL ESTATE - RETAIL/MALLS
14592,FORTIS,FORTIS,FORTIS HEALTHCARE LTD,HEALTHCARE SERVICES,HOSPITALS
14732,DLF,DLF,DLF LTD,REALTY,REAL ESTATE
1508,ASTERDM,ASTERDM,ASTER DM HEALTHCARE LTD,HEALTHCARE SERVICES,HOSPITALS
15184,BRIGADE,BRIGADE,BRIGADE ENTERPRISES LTD,REALTY,REAL ESTATE
15355,RECLTD,RECLTD,REC LTD,FINANCIAL SERVICES,NBFC - PSU
1594,INFY,INFY,INFOSYS LTD,IT,IT SERVICES
1660,ITC,ITC,ITC LTD,FMCG,DIVERSIFIED FMCG
16669,BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ AUTO LTD,AUTO,TWO/THREE WHEELERS
16675,BAJAJFINSV,BAJAJFINSV,BAJAJ FINSERV LTD,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES
17029,PATANJALI,PATANJALI,PATANJALI FOODS LTD,FMCG,EDIBLE OILS / PACKAGED FOODS
17313,LLOYDSME,LLOYDSME,LLOYDS METALS AND ENERGY LTD,METAL,IRON ORE MINING
17438,OIL,OIL,OIL INDIA LTD,OIL & GAS,OIL EXPLORATION & PRODUCTION - PSU
17875,GODREJPROP,GODREJPROP,GODREJ PROPERTIES LTD,REALTY,REAL ESTATE
17939,HINDCOPPER,HINDCOPPER,HINDUSTAN COPPER LTD,METAL,COPPER - PSU
17945,COHANCE,COHANCE,COHANCE LIFESCIENCES LTD,PHARMA,CDMO / SPECIALTY PHARMA INGREDIENTS
1808,KAJARIACER,KAJARIACER,KAJARIA CERAMICS LTD,CONSUMER DURABLES,CERAMICS / TILES
18143,JIOFIN,JIOFIN,JIO FINANCIAL SERVICES LTD,FINANCIAL SERVICES,NBFC
18365,PERSISTENT,PERSISTENT,PERSISTENT SYSTEMS LTD,IT,IT SERVICES
18391,RBLBANK,RBLBANK,RBL BANK LTD,BANKING,PRIVATE BANK
18652,ICICIPRULI,ICICIPRULI,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,FINANCIAL SERVICES,LIFE INSURANCE
18908,PNBHOUSING,PNBHOUSING,PNB HOUSING FINANCE LTD,FINANCIAL SERVICES,HOUSING FINANCE
18921,VBL,VBL,VARUN BEVERAGES LTD,FMCG,BEVERAGES
19061,MANAPPURAM,MANAPPURAM,MANAPPURAM FINANCE LTD,FINANCIAL SERVICES,NBFC - GOLD LOAN
19234,LAURUSLABS,LAURUSLABS,LAURUS LABS LTD,PHARMA,PHARMACEUTICALS / APIS
19585,BSE,BSE,BSE LTD,FINANCIAL SERVICES,CAPITAL MARKETS
19686,BLUEJET,BLUEJET,BLUE JET HEALTHCARE LTD,PHARMA,SPECIALTY PHARMA INGREDIENTS
1997,LICHSGFIN,LICHSGFIN,LIC HOUSING FINANCE LTD,FINANCIAL SERVICES,HOUSING FINANCE
20242,OBEROIRLTY,OBEROIRLTY,OBEROI REALTY LTD,REALTY,REAL ESTATE
20293,TATATECH,TATATECH,TATA TECHNOLOGIES LTD,IT,IT SERVICES - ENGINEERING
20302,PRESTIGE,PRESTIGE,PRESTIGE ESTATES PROJECTS LTD,REALTY,REAL ESTATE
2031,M&M,M&M,MAHINDRA & MAHINDRA LTD,AUTO,PASSENGER VEHICLES/UV
2049,CHENNPETRO,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD,OIL & GAS,REFINERIES
21091,STARCEMENT,STARCEMENT,STAR CEMENT LTD,CEMENT,CEMENT
21238,AUBANK,AUBANK,AU SMALL FINANCE BANK LTD,BANKING,SMALL FINANCE BANK
2142,MFSL,MFSL,MAX FINANCIAL SERVICES LTD,FINANCIAL SERVICES,LIFE INSURANCE
21614,ABCAPITAL,ABCAPITAL,ADITYA BIRLA CAPITAL LTD,FINANCIAL SERVICES,DIVERSIFIED NBFC
21808,SBILIFE,SBILIFE,SBI LIFE INSURANCE COMPANY LTD,FINANCIAL SERVICES,LIFE INSURANCE
21951,HFCL,HFCL,HFCL LTD,TELECOM,TELECOM EQUIPMENT
22377,MAXHEALTH,MAXHEALTH,MAX HEALTHCARE INSTITUTE LTD,HEALTHCARE SERVICES,HOSPITALS
2263,BANDHANBNK,BANDHANBNK,BANDHAN BANK LTD,BANKING,PRIVATE BANK
23650,MUTHOOTFIN,MUTHOOTFIN,MUTHOOT FINANCE LTD,FINANCIAL SERVICES,NBFC - GOLD LOAN
24184,PIIND,PIIND,PI INDUSTRIES LTD,CHEMICALS,AGROCHEMICALS
24398,EMCURE,EMCURE,EMCURE PHARMACEUTICALS LTD,PHARMA,PHARMACEUTICALS
2475,ONGC,ONGC,OIL AND NATURAL GAS CORPORATION LTD,OIL & GAS,OIL EXPLORATION & PRODUCTION - PSU
24948,LTF,LTF,L&T FINANCE LTD,FINANCIAL SERVICES,NBFC
25,ADANIENT,ADANIENT,ADANI ENTERPRISES LTD,METAL,DIVERSIFIED / METALS-MINING
25358,PGEL,PGEL,PG ELECTROPLAST LTD,CONSUMER DURABLES,ELECTRONICS CONTRACT MANUFACTURING
25780,APLAPOLLO,APLAPOLLO,APL APOLLO TUBES LTD,METAL,STEEL PIPES & TUBES
2664,PIDILITIND,PIDILITIND,PIDILITE INDUSTRIES LTD,CHEMICALS,SPECIALTY CHEMICALS / ADHESIVES
27095,SWANCORP,SWANCORP,SWAN CORP LTD,CHEMICALS,CHEMICALS
275,AUROPHARMA,AUROPHARMA,AUROBINDO PHARMA LTD,PHARMA,PHARMACEUTICALS
27839,SAILIFE,SAILIFE,SAI LIFE SCIENCES LTD,PHARMA,CRDMO
2885,RELIANCE,RELIANCE,RELIANCE INDUSTRIES LTD,OIL & GAS,REFINING & PETROCHEMICALS (DIVERSIFIED)
29135,INDUSTOWER,INDUSTOWER,INDUS TOWERS LTD,TELECOM,TELECOM INFRASTRUCTURE / TOWERS
29666,HEXT,HEXT,HEXAWARE TECHNOLOGIES LTD,IT,IT SERVICES
2987,NAZARA,NAZARA,NAZARA TECHNOLOGIES LTD,MEDIA & ENTERTAINMENT,GAMING
3045,SBIN,SBIN,STATE BANK OF INDIA,BANKING,PSU BANK
3063,VEDL,VEDL,VEDANTA LTD,METAL,DIVERSIFIED METALS & MINING
317,BAJFINANCE,BAJFINANCE,BAJAJ FINANCE LTD,FINANCIAL SERVICES,NBFC
324,ANGELONE,ANGELONE,ANGEL ONE LTD,FINANCIAL SERVICES,CAPITAL MARKETS - BROKING
3405,TATACHEM,TATACHEM,TATA CHEMICALS LTD,CHEMICALS,CHEMICALS / SODA ASH
3432,TATACONSUM,TATACONSUM,TATA CONSUMER PRODUCTS LTD,FMCG,PACKAGED FOODS / BEVERAGES
