event,underlying,trading_symbol,option_type,strike,expiry,days_to_expiry,lots,qty,entry_premium,peak_premium,stop_level,exit_premium,pnl,pnl_pct,entry_time,exit_time,exit_reason,entry_delta,entry_theta,entry_gamma,entry_vega,entry_iv,logged_at
ENTRY,ONGC,ONGC-Jul2026-250-CE,CE,250.0,2026-07-28,7,1,2250,2.98,2.98,2.23,,,,09:16:38,,,0.58698,-0.19134,0.06669,0.13983,16.261245007942684,2026-07-21 09:18:16
ENTRY,SIEMENS,SIEMENS-Jul2026-3700-CE,CE,3700.0,2026-07-28,7,1,175,60.6,60.6,45.45,,,,09:16:46,,,0.47138,-5.00778,0.00232,2.09504,32.51893106101878,2026-07-21 09:18:36
EXIT,SIEMENS,SIEMENS-Jul2026-3700-CE,CE,3700.0,2026-07-28,7,1,175,60.6,64.7,45.45,61.25,113.75,1.1,09:16:46,09:21:07,STOPLOSS,0.47138,-5.00778,0.00232,2.09504,32.51893106101878,2026-07-21 09:21:07
EXIT,ONGC,ONGC-Jul2026-250-CE,CE,250.0,2026-07-28,7,1,2250,2.98,3.13,2.23,2.96,-45.0,-0.7,09:16:38,09:22:11,MANUAL_EXIT,0.58698,-0.19134,0.06669,0.13983,16.261245007942684,2026-07-21 09:22:11
ENTRY,INDIGO,INDIGO-Jul2026-5300-CE,CE,5300.0,2026-07-28,7,1,150,107.0,107.0,80.25,,,,09:28:39,,,0.5203,-7.64288,0.00153,3.02064,34.25830108094895,2026-07-21 09:28:52
ENTRY,BOSCHLTD,BOSCHLTD-Jul2026-41000-CE,CE,41000.0,2026-07-28,7,1,25,677.75,677.75,508.31,,,,09:28:28,,,0.5438,-46.24946,0.00026,23.30487,25.880840236365348,2026-07-21 09:29:07
ENTRY,GRASIM,GRASIM-Jul2026-3160-CE,CE,3160.0,2026-07-28,7,1,250,40.6,40.6,30.45,,,,09:28:36,,,0.50594,-3.14392,0.00391,1.80074,22.58050170326546,2026-07-21 09:29:09
EXIT,INDIGO,INDIGO-Jul2026-5300-CE,CE,5300.0,2026-07-28,7,1,150,107.0,109.4,80.25,107.0,0.0,0.0,09:28:39,09:29:35,TARGET,0.5203,-7.64288,0.00153,3.02064,34.25830108094895,2026-07-21 09:29:35
ENTRY,PAYTM,PAYTM-Jul2026-1360-CE,CE,1360.0,2026-07-28,7,1,725,32.55,32.55,24.41,,,,09:28:54,,,0.4976,-2.45516,0.00467,0.77323,44.0988136774402,2026-07-21 09:29:40
EXIT,GRASIM,GRASIM-Jul2026-3160-CE,CE,3160.0,2026-07-28,7,1,250,40.6,40.75,30.45,40.6,0.0,0.0,09:28:36,09:30:03,SYSTEM_EXIT,0.50594,-3.14392,0.00391,1.80074,22.58050170326546,2026-07-21 09:30:03
