Symbol,SecurityID,LTP
NATCOPHARM,3918,931.9
BEML,395,1753.1
AEGISLOG,40,1139.3
NAVA,4014,603.15
BERGEPAINT,404,513.05
PANACEABIO,4055,564.2
MARICO,4067,838.45
BHARATFORG,422,2159.3
HDFCAMC,4244,2655.5
SHRIRAMFIN,4306,1042.85
BHEL,438,413.6
GULFOILLUB,4391,1054.6
JAGSNPHARM,4410,246.55
CREDITACC,4421,1490.7
AARTIDRUGS,4481,386.45
MPHASIS,4503,2160.6
RAMCOIND,4587,337.3
HERITGFOOD,4598,329.5
SBCL,4656,758.55
BANKBARODA,4668,273
HDFCLIFE,467,577
SONACOMS,4684,615.55
SHYAMMETL,4693,949.3
SKMEGGPROD,4732,293.95
CONCOR,4749,475.1
INDRAMEDCO,4751,388
HAPPSTMNDS,48,340.7
KIMS,4847,821.4
INDSWFTLAB,4870,201.54
SAREGAMA,4892,494.45
FDC,4898,426.15
ENGINERSIN,4907,240.39
ICICIBANK,4963,1366.8
CLEAN,5049,759.2
MAZDOCK,509,2510.3
ETERNAL,5097,264
KPIGREEN,5108,397.3
GMDCLTD,5204,583
INDUSINDBK,5258,926.45
BPCL,526,303.7
PDSL,5264,366.7
ALIVUS,5265,1158
UTIAMC,527,938.3
AAVAS,5385,1519.9
CARTRADE,5407,2689.8
NUVOCO,5426,303.15
APTUS,5435,278.15
BRITANNIA,547,5151
GRSE,5475,2708.9
ACUTAAS,5578,3494.3
VIJAYA,5585,1388
CEMPRO,5622,1300.9
CUB,5701,208.6
CYIENT,5748,860.25
SANSERA,5751,3211.2
CANFINHOME,583,869.45
AXISBANK,5900,1349.8
PARAS,5911,1274
GRAPHITE,592,609.55
INTELLECT,5926,714.4
CARBORUNIV,595,1179.8
ABSLAMC,6018,1137.3
ATGL,6066,727.9
GOODLUCK,6125,1490.1
BHAGCHEM,6164,289.01
MEDICAMEQ,6278,254.9
NATIONALUM,6364,339.95
CHAMBLFERT,637,468.5
TECHNOE,6445,1065.7
NYKAA,6545,310.5
SONATSOFTW,6596,268.4
POLICYBZR,6656,1644.1
PAYTM,6705,1143
MOLDTKPAC,6713,726.7
JINDALSTEL,6733,1056.9
EXIDEIND,676,389.3
LATENTVIEW,6818,270
CHOLAFIN,685,1797.9
BAJAJHCARE,6863,349.05
CIPLA,694,1469.6
TARSONS,6943,271.95
GANECOS,6944,908.1
GOCOLORS,6964,401.3
BSOFT,6994,285.5
AARTIIND,7,460.5
ASIANENE,7030,360.4
STARHEALTH,7083,588.95
ANANDRATHI,7145,1999.8
RATEGAIN,7177,898.9
MAPMYINDIA,7227,812
HCLTECH,7229,1077.2
METROBRAND,7242,1010.4
MEDPLUS,7254,819.85
DATAPATTNS,7358,4471.2
STAR,7374,1098
COROMANDEL,739,1992.8
SUPRIYA,7390,1018.25
GLENMARK,7406,2211.9
WOCKPHARMA,7506,1924.6
ZENTEC,7508,1763.6
NRBBEARING,7553,441.1
WAAREERTL,756038,1018.1
OSWALPUMPS,756802,424.05
ENRIN,756871,3675
THELEELA,757014,480
BELRISE,757102,238.42
AEGISVOPAK,757336,235
ATHERENERG,757645,1141.3
HDBFS,757772,755.95
CRIZAC,757850,204.17
EBGNG,757862,625.95
ANTHEM,757885,774.4
SHANTIGOLD,758002,225.35
JSLL,758115,594.6
RAYMONDREL,758551,621.5
KALPATARU,758558,298.5
ELLEN,758563,263.9
SGFIN,758853,616.35
CPPLUS,758858,3666.1
SGMART,758889,590.2
GCSL,758986,433.95
IVALUE,759041,261.9
SHRINGARMS,759093,220.75
JAINREC,759244,348.8
EPACKPEB,759251,245.56
TATACAP,759265,363.7
BLUESTONE,759291,547.65
CRAMC,759311,247.29
RUBICON,759316,1403
PACEDIGITK,759342,201.69
WEWORK,759434,678
PATELRMART,759439,215.1
SHREEJISPG,759448,490.6
PIRAMALFIN,759551,2151.3
LENSKART,759605,514.85
EMMVEE,759728,339.7
