SecurityID,Symbol,CompanyName,Sector,Industry,BasicIndustry,MarketCap,PreviousClose,FNO
15380,MANKIND,Mankind Pharma,PHARMA,PHARMACEUTICALS,,,,
15414,TITAGARH,Titagarh Rail Systems,,,,,,
15555,HCG,Healthcare Global Enterprises,,,,,,
15589,AVG,AVG Logistics,,,,,,
157,APOLLOHOSP,Apollo Hospitals,HEALTHCARE SERVICES,HOSPITALS,,,,
1594,INFY,Infosys,IT,IT SERVICES,,,,
16045,PRINCEPIPE,Prince Pipes & Fittings,,,,,,
1621,TATAINVEST,Tata Investment Corporation,,,,,,
163,APOLLOTYRE,Apollo Tyres,,,,,,
1630,IONEXCHANG,Ion Exchange,,,,,,
1633,IPCALAB,IPCA Laboratories,PHARMA,PHARMACEUTICALS,,,,
1660,ITC,ITC,FMCG,DIVERSIFIED FMCG,,,,
16669,BAJAJ-AUTO,Bajaj Auto,AUTO,TWO/THREE WHEELERS,,,,
16675,BAJAJFINSV,Bajaj Finserv,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,,,,
16713,UBL,United Breweries,FMCG,ALCOHOLIC BEVERAGES,,,,
1675,ITI,ITI,,,,,,
16783,GVT&D,GE Vernova T&D,,,,,,
16915,ZFCVINDIA,ZF Commercial,,,,,,
16921,20MICRONS,20 Microns,,,,,,
17029,PATANJALI,Patanjali Foods,FMCG,EDIBLE OILS / PACKAGED FOODS,,,,
17032,THYROCARE,Thyrocare Technologies,,,,,,
17094,CROMPTON,Crompton Greaves,CONSUMER DURABLES,CONSUMER ELECTRICALS,,,,
17105,SUMICHEM,Sumitomo Chemical,CHEMICALS,AGROCHEMICALS,,,,
17130,PARAGMILK,Parag Milk Foods,,,,,,
17186,SHRIPISTON,Shriram Pistons & Rings,,,,,,
17187,CYIENTDLM,Cyient DLM,,,,,,
1726,JBCHEPHARM,J B Chemicals and Pharmaceuticals,PHARMA,PHARMACEUTICALS,,,,
17271,SENCO,Senco Gold,,,,,,
17279,BLS,BLS International Services,,,,,,
17313,LLOYDSME,Lloyds Metals & Energy,METAL,IRON ORE MINING,,,,
17388,ADANIPOWER,Adani Power,,,,,,
17397,PREMEXPLN,Premier Explosives,,,,,,
17424,GLOBUSSPR,Globus Spirits,,,,,,
17433,NETWEB,Netweb Technologies,,,,,,
17438,OIL,Oil India,OIL & GAS,OIL EXPLORATION & PRODUCTION - PSU,,,,
17534,MGL,Mahanagar Gas,OIL & GAS,CITY GAS DISTRIBUTION,,,,
17635,ZYDUSWELL,Zydus Wellness,,,,,,
17641,SUNTECK,Sunteck Realty,,,,,,
17704,QUESS,Quess Corp,,,,,,
17738,YATHARTH,Yatharth Hospital,,,,,,
17752,SHILPAMED,Shilpa Medicare,,,,,,
17758,SARDAEN,Sarda Energy & Minerals,,,,,,
17764,REFEX,Refex Industries,,,,,,
17818,LTM,LTM,IT,IT SERVICES,,,,
17869,JSWENERGY,JSW Energy,,,,,,
17875,GODREJPROP,Godrej Properties,REALTY,REAL ESTATE,,,,
17939,HINDCOPPER,Hindustan Copper,METAL,COPPER - PSU,,,,
